tier,topic_id,paper_count,macro_id,top5_kw,tier_label
T1_fine,0,1333,12,"policy, rl, reinforcement learning, reinforcement, offline",2023-2026
T1_fine,1,1018,1,"clinical, medical, patient, biomedical, healthcare",2023-2026
T1_fine,2,709,1,"molecular, protein, drug, chemical, molecules",2023-2026
T1_fine,3,666,4,"equations, neural, differential equations, pdes, differential",2023-2026
T1_fine,4,612,0,"editing, image, texttoimage, style, diffusion",2023-2026
T1_fine,5,585,3,"speech, asr, speech recognition, automatic speech, spoken",2023-2026
T1_fine,6,582,12,"agents, agent, tool, multiagent, agentic",2023-2026
T1_fine,7,484,3,"point, 3d, point cloud, cloud, lidar",2023-2026
T1_fine,8,479,5,"gradient, networks, descent, neural, sgd",2023-2026
T1_fine,9,476,3,"emotion, emotional, emotion recognition, emotions, recognition",2023-2026
T1_fine,10,467,3,"driving, traffic, autonomous, autonomous driving, vehicles",2023-2026
T1_fine,11,396,3,"rendering, gaussian, splatting, gaussian splatting, 3d",2023-2026
T1_fine,12,380,12,"students, education, educational, student, knowledge tracing",2023-2026
T1_fine,13,373,12,"causal, causal discovery, variables, discovery, causal inference",2023-2026
T1_fine,14,363,3,"segmentation, medical, medical image, image segmentation, tumor",2023-2026
T1_fine,15,339,6,"weather, forecasting, climate, precipitation, flood",2023-2026
T1_fine,16,330,0,"rag, retrieval, retrievalaugmented, retrievalaugmented generation, generation rag",2023-2026
T1_fine,17,326,5,"regret, bandit, bandits, arm, online",2023-2026
T1_fine,18,322,14,"federated, federated learning, clients, fl, client",2023-2026
T1_fine,19,322,3,"reasoning, visual, multimodal, visual reasoning, multimodal reasoning",2023-2026
T1_fine,20,313,3,"traffic, mobility, urban, spatiotemporal, prediction",2023-2026
T1_fine,21,308,5,"graph, gnns, node, graph neural, graphs",2023-2026
T1_fine,22,290,12,"explanations, xai, explanation, explainable, concept",2023-2026
T1_fine,23,287,0,"bias, gender, biases, gender bias, fairness",2023-2026
T1_fine,24,285,14,"adversarial, attacks, attack, backdoor, adversarial attacks",2023-2026
T1_fine,25,267,3,"pose, pose estimation, hand, human pose, 3d",2023-2026
T1_fine,26,264,6,"time series, series, forecasting, time, series forecasting",2023-2026
T1_fine,27,257,0,"translation, machine translation, mt, machine, translations",2023-2026
T1_fine,28,256,0,"fairness, fair, bias, protected, attributes",2023-2026
T1_fine,29,245,0,"languages, multilingual, crosslingual, english, lowresource",2023-2026
T1_fine,30,245,4,"continual, continual learning, forgetting, cl, catastrophic forgetting",2023-2026
T1_fine,31,242,0,"mental, mental health, depression, health, counseling",2023-2026
T1_fine,32,240,0,"texts, text, aigenerated, authorship, detectors",2023-2026
